"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"qcfn-tiw7","Performance Metrics - Streets & Sanitation - Graffiti Removal","dataset","The Department of Streets & Sanitation's (DSS) Graffiti Blasters crews offer a vandalism removal service to private property owners. This metric tracks the average number of days DSS takes to complete","2024-02-06T17:21:55.000Z",214653,"Administration & Finance"
"wrvz-psew","Taxi Trips (2013-2023)","dataset","<b>This dataset ends with 2023. Please see the Featured Content link below for the dataset that starts in 2024.</b>

Taxi trips from 2013 to 2023 reported to the City of Chicago in its role as a reg","2026-03-19T18:55:14.000Z",209412,"Transportation"
"bbvz-uum9","Boundaries - Neighborhoods","map","Neighborhood boundaries in Chicago, as developed by the Office of Tourism. These boundaries are approximate and names are not official. The data can be viewed on the Chicago Data Portal with a web bro","2025-02-20T16:29:40.000Z",203440,"Facilities & Geographic Boundaries"
"pa8e-mhbh","CTA - Map of Fare Media Sales Outlets (deprecated August 2014)","map","Map shows physical locations where CTA fare media, such as Transit Cards, CTA Passes and Chicago Cards were sold through approximately July 2014, prior to the implementation of Ventra cards. The locat","2025-02-20T15:36:11.000Z",193782,"Transportation"
"97wa-y6ff","Public Chauffeurs","dataset","List of City of Chicago licensed Public Chauffeurs, who may operate a licensed Taxicab, Livery, or Pedicab. Horse-Drawn Carriage license historical records appear; but are no longer issued. For questi","2026-05-22T21:30:28.000Z",187003,"Community & Economic Development"
"awqx-tuwv","Ordinance Violations (Buildings)","filter","<b>Note: For questions related to a specific violation or code requirements, please contact the Department of Buildings. For questions regarding the hearings process, a hearing date, or a hearing disp","2026-05-24T11:34:31.000Z",183900,"Administration & Finance"
"7mgr-iety","Map - Red Light Camera Locations","map","This dataset shows the location, first operational date, and approaches of the red light cameras in the City of Chicago. The approach describes the originating direction of travel which is monitored b","2026-04-24T10:27:16.000Z",181284,"Transportation"
"ygr5-vcbg","Towed Vehicles","dataset","This dataset displays location for vehicles that have been towed and impounded by the City of Chicago within the last 90 days. Illegally parked vehicles, abandoned vehicles and vehicles used for illeg","2026-05-24T17:16:28.000Z",175406,"Transportation"
"rna5-2pgy","COVID-19 Daily Vaccinations - Chicago Residents - Cumulative Doses by Day","chart","Cumulative counts by date of Chicago residents who received at least one COVID-19 vaccine dose or have completed a vaccine series.","2023-12-14T23:02:09.000Z",170727,"Health & Human Services"
"c7ck-438e","Chicago Police Department - Illinois Uniform Crime Reporting (IUCR) Codes","dataset","Illinois Uniform Crime Reporting (IUCR) codes are four digit codes that law enforcement agencies use to classify criminal incidents when taking individual reports. These codes are also used to aggrega","2021-12-08T15:44:06.000Z",159221,"Public Safety"
"rsxa-ify5","Contracts","dataset","Contracts and modifications awarded by the City of Chicago since 1993. This data is currently maintained in the City’s Financial Management and Purchasing System (FMPS), which is used throughout the C","2026-05-24T08:16:17.000Z",155384,"Administration & Finance"
"j2wj-wjrp","COVID-19 Testing Sites - Map - Historical","map","Note: This map and the underlying dataset are no longer updated but are being kept for historical reference. For the Department of Public Health’s current COVID-19 testing information at any time, ple","2022-05-18T21:22:11.000Z",155288,"Health & Human Services"
"naz8-j4nc","COVID-19 Daily Cases, Deaths, and Hospitalizations - Historical","dataset","NOTE: This dataset has been retired and marked as historical-only.

Only Chicago residents are included based on the home ZIP Code, as provided by the medical provider, or the address, as provided by ","2026-03-25T20:07:34.000Z",150959,"Health & Human Services"
"x2n5-8w5q","Crimes - One year prior to present","dataset","This dataset reflects reported incidents of crime (with the exception of murders where data exists for each victim) that have occurred in the City of Chicago over the past year, minus the most recent ","2026-05-24T10:01:36.000Z",146638,"Public Safety"
"ezma-pppn","Business Owners","dataset","This dataset contains the owner information for all the accounts listed in the Business License Dataset, and is sorted by Account Number. To identify the owner of a business, you will need the account","2026-05-23T09:50:15.000Z",141628,"Community & Economic Development"
"tfm3-3j95","Public Passenger Vehicle Licenses","dataset","A public passenger vehicle is a vehicle used for the transportation of passengers for hire by a public chauffeur. The list of public passenger vehicles includes licensed taxicabs (medallions), liverie","2026-05-22T21:01:54.000Z",141050,"Community & Economic Development"
"gdcf-axmw","Boundaries - ZIP Codes - Map","map","Map of ZIP Code boundaries in Chicago.","2025-04-28T21:29:45.000Z",139940,"Facilities & Geographic Boundaries"
"ewy2-6yfk","Boundaries - City - Map","map","Map of the Chicago boundary.","2025-07-24T17:43:56.000Z",138543,"Facilities & Geographic Boundaries"
"28km-gtjn","Fire Stations","dataset","Fire station locations","2019-04-18T10:35:18.000Z",136609,"Public Safety"
"hgat-td99","Building Code Scofflaw List - Map","map","The Chicago Building Scofflaw Ordinance (Section 2-92-416 of the Municipal Code of Chicago) is designed to prevent landlords that refuse or refrain from correcting ongoing building code violations fro","2026-04-01T22:37:25.000Z",132405,"Buildings"
"6iiy-9s97","CTA - Ridership - Daily Boarding Totals","dataset","This dataset shows systemwide boardings for both bus and rail services provided by CTA, dating back to 2001. Daytypes are as follows: W = Weekday, A = Saturday, U = Sunday/Holiday. See attached readme","2026-05-15T18:26:25.000Z",131073,"Transportation"
"68nd-jvt3","Traffic Crashes - Vehicles","dataset","This dataset contains information about vehicles (or units as they are identified in crash reports) involved in a traffic crash. This dataset should be used in conjunction with the traffic Crash and P","2026-05-24T15:06:20.000Z",128929,"Transportation"
"x8fc-8rcq","Libraries - Locations,  Contact Information, and Usual Hours of Operation","dataset","Chicago Public Library locations, contact information, and usual hours of operation.

Please note that branches may experience short-term closures due to utility interruptions, HVAC problems, and ot","2024-10-04T18:42:33.000Z",125594,"Education"
"gumc-mgzr","Violence Reduction - Victims of Homicides and Non-Fatal Shootings","dataset","This dataset contains individual-level homicide and non-fatal shooting victimizations, including homicide data from 1991 to the present, and non-fatal shooting data from 2010 to the present (2010 is t","2026-05-24T12:37:48.000Z",121890,"Public Safety"
"hp65-bcxv","Fire Stations - Map","map","Fire stations located in Chicago","2025-02-20T15:25:56.000Z",119713,"Public Safety"
"vc9r-bqvy","Sex Offenders","dataset","Description: Pursuant to the Sex Offender and Child Murderer Community Notification Law, 730 ILCS 152/101,et seq., the Chicago Police Department maintains a list of sex offenders residing in the City ","2026-05-23T10:00:30.000Z",119424,"Public Safety"
"7nii-7srd","311 Service Requests - Vacant and Abandoned Buildings Reported - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-20T21:07:30.000Z",116913,"Service Requests"
"gkur-vufi","Police Stations - Map","map","Police station locations in Chicago","2025-02-20T15:24:42.000Z",115750,"Public Safety"
"sp34-6z76","Boundaries - Wards (2015-2023)","map","Ward boundaries in Chicago from May 2015 to May 2023, corresponding to the dates when a new City Council is sworn in, based on the immediately preceding elections.  Neither this description nor the da","2025-01-30T05:35:12.000Z",115606,"Facilities & Geographic Boundaries"
"cdf7-bgn3","Boundaries - Wards (2023-) - Map","map","Map of the ward boundaries in Chicago from May 2023 onward.","2023-02-03T15:27:38.000Z",112050,"Facilities & Geographic Boundaries"
"m6dm-c72p","Transportation Network Providers - Trips (2018 - 2022)","dataset","<b>This dataset ends with 2022. Please see the Featured Content link below for the dataset that starts in 2023.</b>

All trips, from November 2018 to December 2022, reported by Transportation Networ","2026-03-19T18:53:52.000Z",105222,"Transportation"
"v6vf-nfxy","311 Service Requests","dataset","311 Service Requests received by the City of Chicago. This dataset includes requests created after the launch of the new 311 system on 12/18/2018 and some records from the previous system, indicated i","2026-05-24T17:23:20.000Z",101813,"Service Requests"
"xpdx-8ivx","Potholes Patched - Last Seven Days - Historical - Map","map","This map shows potholes patched in the last seven days, based on the corresponding 311 service requests at https://data.cityofchicago.org/id/7as2-ds3y.","2025-02-27T21:42:08.000Z",101190,"Service Requests"
"n4j6-wkkf","Chicago Traffic Tracker - Congestion Estimates by Segments","dataset","This dataset contains the current estimated speed for about 1250 segments covering 300 miles of arterial roads. For a more detailed description,  please go to https://tas.chicago.gov, click the About ","2026-04-30T06:33:30.000Z",100131,"Transportation"
"5jrd-6zik","Boundaries - Census Tracts - 2010","map","Census tract boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compression s","2024-12-02T20:33:37.000Z",97808,"Facilities & Geographic Boundaries"
"fthy-xz3r","Boundaries - Police Districts (current)","map","Current police district boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use co","2024-12-02T20:33:39.000Z",97377,"Public Safety"
"yhhz-zm2v","COVID-19 Cases, Tests, and Deaths by ZIP Code - Historical","dataset","NOTE: This dataset has been retired and marked as historical-only.

Only Chicago residents are included based on the home ZIP Code as provided by the medical provider. If a ZIP was missing or was not ","2026-03-25T16:23:46.000Z",96767,"Health & Human Services"
"s4vu-giwb","Payments","dataset","All vendor payments made by the City of Chicago from 1996 to present. Payments from 1996 through 2002 have been rolled-up and appear as ""2002."" Total payment information is summarized for each vendor ","2026-05-24T08:31:10.000Z",93000,"Administration & Finance"
"u6pd-qa9d","Traffic Crashes - People","dataset","This data contains information about people involved in a crash and if any injuries were sustained. This dataset should be used in combination with the traffic Crash and Vehicle dataset. Each record c","2026-05-24T15:11:45.000Z",92124,"Transportation"
"t2qc-9pjd","Chicago Traffic Tracker - Congestion Estimates by Regions","dataset","This dataset contains the current estimated congestion for the 29 traffic regions. For a detailed description, please go to https://tas.chicago.gov, click the About button at the bottom of the page, a","2026-04-30T06:33:30.000Z",88285,"Transportation"
"c2az-nhru","Filming Permits - Transportation Department","filter","Applications to the Chicago Department of Transportation for permits under its jurisdiction where the work type is ""Filming.""  These permits typically are permits to block or otherwise affect public s","2026-05-24T06:55:04.000Z",88095,"Community & Economic Development"
"kc9i-wq85","Vacant and Abandoned Buildings - Violations","dataset","NOTE, 6/28/2021: There are changes and correction in this dataset. See https://data.cityofchicago.org/stories/s/Vacant-and-Abandoned-Buildings-Violations-Correcti/ezdy-f2qs for details. -- Vacant and ","2026-03-20T21:03:50.000Z",85643,"Buildings"
"mft5-nfa8","COPA Cases - Summary","dataset","Complaints received by the Civilian Office of Police Accountability and its predecessor agency.

Each complaint is represented by a single line. When multiple people are involved, values for each of","2026-04-07T10:09:48.000Z",82512,"Public Safety"
"kf7e-cur8","Chicago Traffic Tracker - Historical Congestion Estimates by Region - 2018-Current","dataset","This dataset contains the historical estimated congestion for the 29 traffic regions, starting in approximately March 2018. Older records are in https://data.cityofchicago.org/d/emtn-qqdi. The most re","2026-05-24T17:39:14.000Z",82072,"Transportation"
"iqnk-2tcu","Public Health Statistics - Selected public health indicators by Chicago community area - Historical","dataset","Note: This dataset is historical only and there are not corresponding datasets for more recent time periods. For that more-recent information, please visit the Chicago Health Atlas at https://chicagoh","2022-02-03T23:20:46.000Z",81550,"Health & Human Services"
"pnau-cf66","CTA - List of CTA Datasets","dataset","This lists datasets published by CTA in the City of Chicago Data Portal.","2017-05-17T16:26:45.000Z",78227,"Transportation"
"4i42-qv3h","Speed Camera Locations","dataset","This dataset shows the location, first operational date, and approaches of the speed cameras in the City of Chicago. The approach describes the originating direction of travel which is monitored by a ","2026-05-08T10:12:12.000Z",76700,"Transportation"
"7bzs-jsyj","House Share Prohibited Buildings List","dataset","A list of buildings excluded from short-term rental activity under the Shared Housing Ordinance.  See https://www.cityofchicago.org/city/en/depts/bacp/provdrs/bus/alerts/2016/july/Prohibited_Buildings","2026-05-20T05:13:39.000Z",73719,"Buildings"
"uvpq-qeeq","Boundaries - Ward Precincts (2013-2022) - Map","map","Map of Ward Precincts (2013-2022)","2026-03-17T20:34:08.000Z",73097,"Facilities & Geographic Boundaries"
"qhfc-4cw2","Senior Centers","dataset","Senior Center locations, hours of operation and contact information.","2019-04-18T01:01:30.000Z",72741,"Health & Human Services"
"spqx-js37","Red Light Camera Violations","dataset","This dataset reflects the daily volume of violations created by the City of Chicago Red Light Program for each camera. The data reflects violations that occurred from July 1, 2014 until present, minus","2026-05-24T10:19:28.000Z",72243,"Transportation"
"aerh-rz74","Boundaries - Police Beats (current)","map","Current police beat boundaries in Chicago. The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use compre","2024-11-13T17:45:25.000Z",72212,"Public Safety"
"hz9b-7nh8","Building Footprints - Map","map","Map of building footprints in Chicago.","2025-06-12T19:52:21.000Z",71205,"Buildings"
"sxs8-h27x","Chicago Traffic Tracker - Historical Congestion Estimates by Segment - 2018-2023","dataset","This dataset contains the historical estimated congestion for over 1,000 traffic segments, starting in approximately 2/28/2018 and ending 9/8/2023. Older records are in https://data.cityofchicago.org/","2026-03-31T18:41:37.000Z",70528,"Transportation"
"n4bx-5kf6","Current Employee Names, Salaries, and Position Titles - Full-time","filter","Current Employee Names, Salaries, and Position Titles records where Full or Part-Time is F.","2026-05-24T04:47:55.000Z",68193,"Administration & Finance"
"cs4s-nsna","Workforce Centers","dataset","City of Chicago's Workforce Center locations, hours of operation and contact information.","2019-04-18T10:01:41.000Z",66772,"Health & Human Services"
"pf56-35rv","Average Daily Traffic Counts - Map","map","Average Daily Traffic (ADT) counts are analogous to a census count of vehicles on city streets. These counts provide a close approximation to the actual number of vehicles passing through a given loca","2025-02-20T15:36:22.000Z",66148,"Transportation"
"hec5-y4x5","311 Service Requests - Graffiti Removal - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-25T20:00:40.000Z",64541,"Service Requests"
"3c9v-pnva","311 Service Requests - Abandoned Vehicles - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-20T21:02:32.000Z",63050,"Service Requests"
"tksj-nvsw","Boundaries - Central Business District","map","Chicago's central business district boundary.  The data can be viewed on the Chicago Data Portal with a web browser. However, to view or use the files outside of a web browser, you will need to use co","2024-05-16T20:53:53.000Z",62304,"Facilities & Geographic Boundaries"
"u9xt-hiju","Parking Permit Zones","dataset","This dataset contains all those street segments (individually uniquely identified by Record ID) that have been designated as belonging to a “Residential Parking Zone.”  Residential Parking Zones are e","2026-04-30T05:33:21.000Z",61119,"Transportation"
"7as2-ds3y","311 Service Requests - Pot Holes Reported - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-25T19:31:32.000Z",61035,"Service Requests"
"y93d-d9e3","Debarred Firms and Individuals","dataset","Entities, individuals or both are subject to debarment. The following list provides info regarding entities or individuals, date of debarment, length of debarment and cause. Lifetime debarment pertain","2025-09-27T10:45:28.000Z",60957,"Administration & Finance"
"64xf-pyvh","Boundaries - Enterprise Zones","map","The Illinois Enterprise Zone Program is designed to stimulate economic growth and neighborhood revitalization in economically depressed areas of the state. For more information about this program, go ","2026-02-23T22:30:21.000Z",60897,"Community & Economic Development"
"vwwp-7yr9","Crimes - 2015","filter","Records from the Crimes - 2001 to Present dataset for the indicated year.
 
Please see the description section of the full dataset for further information about the data.","2026-05-24T11:37:41.000Z",60622,"Public Safety"
"wjkc-agnm","FOIA Request Log - Police","dataset","FOIA requests received by the Chicago Police Department as of May 1, 2010","2025-03-11T15:09:07.000Z",60504,"FOIA"
"4jzv-pgsc","Connect Chicago Locations - Map","map","Connect Chicago is a loose network of more than 250 places in the city where internet and computer access, digital skills training, and online learning resources are available—for free.

This data s","2025-02-20T15:00:34.000Z",60113,"Education"
"hwmb-iu8j","Public Right-of-Way Use Permits - Historical","dataset","As described in http://bit.ly/cdotpermitspost, the function of this dataset was replaced by https://data.cityofchicago.org/d/pubx-yq2d on 12/7/2015.  This dataset is historical-only.

The Chicago De","2015-12-10T23:21:07.000Z",59901,"Transportation"
"pfsx-4n4m","Average Daily Traffic Counts - 2006","dataset","This dataset is historical. For recent data, we recommend using https://chicagotraffictracker.com. -- Average Daily Traffic (ADT) counts are analogous to a census count of vehicles on city streets. Th","2024-08-05T15:22:54.000Z",59434,"Transportation"
"6br9-quuz","Ordinance Violations","dataset","<b>Note: For questions related to a specific violation or code requirements, please contact the department that issued the violation notice. For questions regarding the hearings process, a hearing dat","2026-05-24T11:34:31.000Z",58010,"Administration & Finance"
"uxic-zsuj","311 Service Requests - Tree Trims - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-25T19:17:20.000Z",57442,"Service Requests"
"5neh-572f","CTA - Ridership - 'L' Station Entries - Daily Totals","dataset","This list shows daily totals of ridership, by station entry, for each 'L' station dating back to 2001. Dataset shows entries at all turnstiles, combined, for each station. Daytypes are as follows: W=W","2026-05-15T18:24:42.000Z",56908,"Transportation"
"bk89-9dk7","Divvy Bicycle Stations Map","map","A map of the stations where one can pick up and return bicycles from the Divvy bicycle sharing system (http://divvybikes.com/).","2026-05-24T11:00:17.000Z",55839,"Transportation"
"me59-5fac","311 Service Requests - Sanitation Code Complaints - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-20T21:11:47.000Z",55659,"Service Requests"
"3h7q-7mdb","Violence Reduction - Shotspotter Alerts - Historical","dataset","NOTE: The City of Chicago ended its use of ShotSpotter on 9/22/2024. This dataset is historical-only and ends with that date.

This dataset contains all ShotSpotter alerts since the introduction of Sh","2024-10-04T14:30:34.000Z",55502,"Public Safety"
"hhkd-xvj4","Speed Camera Violations","dataset","This dataset reflects the daily volume of violations that have occurred in Children's Safety Zones for each camera. The data reflects violations that occurred from July 1, 2014 until present, minus th","2026-05-24T10:04:43.000Z",53226,"Transportation"
"kxfh-a6zz","Public Passenger Vehicle Inspection Schedule","dataset","Certain types of Public Passenger Vehicles licensed by the City of Chicago must be inspected as part of the license renewal or change of vehicle associated with the license. This dataset shows the sch","2026-05-23T05:05:47.000Z",53189,"Community & Economic Development"
"zgvr-7yfd","Elevation Benchmarks","dataset","The following dataset includes ""Active Benchmarks,"" which are provided to facilitate the identification of City-managed standard benchmarks. Standard benchmarks are for public and private use in estab","2013-02-28T15:29:13.000Z",52768,"Buildings"
"8xas-7ipx","Warming Centers - Map","map","Map of Warming Centers","2026-03-17T14:57:42.000Z",51484,"Health & Human Services"
"y5ck-7s96","City-Owned Land Inventory - Map","map","Map of property currently or historically owned and managed by the City of Chicago. Please see https://www.chicago.gov/landsales for information on purchasing land from the City of
Chicago.","2026-05-23T23:05:31.000Z",51206,"Community & Economic Development"
"mw4h-s8xu","CTA - System Information - Map Showing Bus Stop Shelters in Digital Sign Project","map","This dataset shows CTA Bus Stop shelters which are slated to have digital signs added to them to show upcoming arrivals. The listing is subject to change.","2025-02-20T15:34:35.000Z",50835,"Transportation"
"7cve-jgbp","Boundaries - Zoning Districts (current) - Map","map","Map of zoning districts.","2026-05-13T22:31:35.000Z",50268,"Community & Economic Development"
"5k2z-suxx","Relocated Vehicles","dataset","This dataset presents current and former locations of vehicles that have been relocated by the City of Chicago within the last 90 days. Vehicles may be relocated, but not impounded, due to inoperabili","2026-05-24T13:31:29.000Z",49837,"Transportation"
"qmqz-2xku","Beach Water Quality - Automated Sensors","dataset","The Chicago Park District maintains sensors in the water at beaches along Chicago's Lake Michigan lakefront. These sensors generally capture the indicated measurements hourly while the sensors are in ","2026-05-24T16:45:45.000Z",49793,"Parks & Recreation"
"un3c-ixb7","FOIA Request Log - Fire","dataset","FOIA requests received by the Chicago Fire Department as of May 1, 2010","2021-07-20T16:19:42.000Z",49595,"FOIA"
"9ksk-na4q","311 Service Requests - Garbage Carts - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-25T19:33:20.000Z",49510,"Service Requests"
"e4sp-itvq","Business Licenses - Current Active - Map","map","Map of currently active business licenses","2026-05-23T10:04:54.000Z",49327,"Community & Economic Development"
"8yq3-m6wp","Energy Usage 2010","dataset","Displays several units of energy consumption for households, businesses, and industries in the City of Chicago during 2010. Electric  The data was aggregated from ComEd and Peoples Natural Gas by Acce","2018-07-11T20:44:59.000Z",48686,"Environment & Sustainable Development"
"u23m-pa73","Green Roofs - Map","map","This map and corresponding dataset provide the location, satellite images and square footage of existing green roofs within the City of Chicago. This information is derived from an analysis of high-sp","2025-02-20T15:43:59.000Z",48430,"Environment & Sustainable Development"
"kxzd-kd6a","Daily Chicago COVID-19 Cases, Deaths, and Hospitalizations - Historical","chart","This dataset on which this chart depends is historical only and ends at 5/17/2024. COVID-19 Cases, Deaths, and Hospitalizations by day","2024-05-24T20:28:04.000Z",47107,"Health & Human Services"
"g5i5-yz37","Chicago Energy Benchmarking - Covered Buildings","dataset","The full list of buildings required to comply with the Chicago Energy Benchmarking Ordinance. As of 2016, this list includes all commercial, institutional, and residential buildings larger than 50,000","2025-03-14T23:29:16.000Z",47053,"Environment & Sustainable Development"
"9hwr-2zxp","Crimes - 2022","filter","Records from the Crimes - 2001 to Present dataset for the indicated year.
 
Please see the description section of the full dataset for further information about the data.","2026-05-24T11:37:41.000Z",46977,"Public Safety"
"rish-pa6g","Grocery Store Status Map - Historical","map","A list of grocery stores in Chicago and last known status (open or closed). To find locations of a specific chain, use the Store Name filter with CONTAINS or STARTS WITH.","2025-06-13T22:37:30.000Z",46697,"Health & Human Services"
"5yyk-qt9y","Parks - Chicago Park District Facilities (current)","map","Facilities managed & maintained by the Chicago Park District as of November 4, 2016.","2025-02-11T19:00:03.000Z",46519,"Parks & Recreation"
"atdi-52tt","Number of Employees by Department - Based on Current Employee Names, Salaries, and Position Titles","chart","Graph of number of employees by department.","2026-05-24T04:47:55.000Z",46433,"Administration & Finance"
"wa2i-tm5d","Libraries - Locations, Hours and Contact Information - Map","map","Chicago Public Library locations, contact information, and hours of operation","2025-02-20T15:48:17.000Z",44541,"Education"
"97t6-zrhs","311 Service Requests - Rodent Baiting - Historical","dataset","As described in https://data.cityofchicago.org/stories/s/311-Dataset-Changes-12-11-2018/d7nq-5g7t, the function of this dataset was replaced by https://data.cityofchicago.org/d/v6vf-nfxy. This dataset","2026-03-25T19:32:07.000Z",43126,"Service Requests"
"kmt9-pg57","Elevation Benchmarks - Map","map","The following dataset includes ""Active Benchmarks,"" which are provided to facilitate the identification of City-managed standard benchmarks. Standard benchmarks are for public and private use in estab","2025-02-20T15:33:05.000Z",42475,"Buildings"
"4aki-r3np","Strategic Subject List - Historical","dataset","The program described below ended in 2019. This dataset is being retained for historical reference. 

The information displayed represents a de-identified listing of arrest data from August 1, 2012 to","2020-09-25T21:57:26.000Z",42402,"Public Safety"
"cnfp-tsxc","Food Inspections - Map","map","Map of Food Inspections","2026-05-23T09:06:42.000Z",41487,"Health & Human Services"
