"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"6933-unw5","Development Permits","dataset","Applications for development permits in Calgary. For more information, visit <a href=""https://www.calgary.ca/development/permits/process.html"">Development Permit Process</a>.

Permits from 1979-2000 c","2026-05-23T21:10:14.000Z",48696,"Business and Economic Activity"
"7t9h-2z9s","City Boundary","map","The City Limits or boundaries are the jurisdictional extents of the city of Calgary. They are governed by provincial board orders, provincial reports prepared following the hearing and approval of a p","2026-05-01T06:02:05.000Z",42720,"Base Maps"
"5fdg-ifgr","River Levels and Flows","dataset","Data provided through this web app is provisional and preliminary in nature. Data is automatically generated by remote equipment that may not be under control of the Government of Alberta. This data h","2026-05-23T19:49:24.000Z",40739,"Environment"
"mw9j-jik5","Land Use Districts","map","This spatial dataset contains polygons representing land use districts in Calgary.
For more information about land use in The City of Calgary, please visit the Calgary.ca <a href=""http://www.calgary.c","2026-05-22T15:12:34.000Z",36958,"Base Maps"
"npim-ffnh","Calgary Transit Routes","map","This is a map layer representing the routes in the <a href=""https://data.calgary.ca/Transportation-Transit/Calgary-Transit-Scheduling-Data/npk7-z3bj"">Calgary Transit Scheduling dataset</a>. For more i","2026-05-15T16:02:20.000Z",36709,"Transportation/Transit"
"as3q-cmd5","Calgary's Population, 1958-2019","chart","The City of Calgary has been conducting the annual Civic Census since 1958. View the citywide and ward-level counts of dwelling units and residents over the past 60 years.","2026-04-01T21:22:38.000Z",36036,"Demographics"
"rhkg-vwwp","On-Street Parking Zones","dataset","Locations of the Calgary Parking Authority On-Street Parking Zones. The rates applicable in different price zones can be viewed in <a href=""https://data.calgary.ca/Help-and-Information/On-Street-Parki","2026-05-22T13:33:57.000Z",35722,"Transportation/Transit"
"ab7m-fwn6","Community Boundaries","map","Community boundaries for the City of Calgary","2026-05-19T21:43:13.000Z",35235,"Base Maps"
"q6ds-xz2v","Alberta Township Sections","map","The Alberta Township File identifies land (section, township, range) in a grid format known as Dominion Land Survey (DLS) system. It is a graphic representation of these section boundaries (approximat","2026-01-20T21:34:58.000Z",34805,"Base Maps"
"kr8b-c44i","Building Permits by Community","map","Building permit applications made to The City of Calgary's Planning & Development department. 
For general requests please contact propertyresearch@calgary.ca.
Visit the Calgary.ca <a href=""http://www","2026-05-23T19:03:30.000Z",31501,"Business and Economic Activity"
"rkfr-buzb","Census by Community 2019","dataset","Census data is an official count of dwelling units and population within those units. The data is physically collected and may be supplemented with other information such as the periodic age/gender di","2026-04-06T16:23:41.000Z",31248,"Demographics"
"d9kv-swk3","Historical Rainfall","dataset","This is a historical record of rain accumulated at various rain gauges throughout the City during the rain season, which typically runs from May 1- Sep 30. Readings are taken at 5 minute intervals, an","2025-03-27T20:59:14.000Z",31160,"Environment"
"tfs4-3wwa","Public Trees","dataset","Information about Calgary's urban forest, including the locations and types of trees on public land. To learn more, visit the <a href=""https://maps.calgary.ca/TreeSchedule/"">Urban Forest Management ma","2026-05-22T21:11:10.000Z",29387,"Environment"
"4ur7-wsgc","Historical Property Assessments (Parcel)","dataset","The historical assessed values of residential, non-residential and farm land properties in Calgary. The properties in this dataset consist of Calgary lands that have a registered parcel at Alberta’s L","2026-02-03T21:13:21.000Z",27359,"Government"
"9zvu-p8uz","Parcel Address","dataset","This file contains address information for land parcels within The City of Calgary.","2026-05-21T14:07:54.000Z",23515,"Base Maps"
"4bsw-nn7w","Current Year Property Assessments (Parcel)","dataset","The assessed values of residential, non-residential and farm land properties in Calgary. The properties in this dataset consist of Calgary lands that have a registered parcel at Alberta’s Land Titles ","2026-05-22T15:31:56.000Z",23333,"Government"
"m9y7-ui7j","Calgary Public Library Locations and Hours","dataset","A list of all Calgary Public Library locations and their hours of operation.","2025-02-21T17:58:15.000Z",22720,"Recreation and Culture"
"5vyw-zf4x","Traffic incidents in Communities","map","An archive of traffic incidents within Calgary updated every 10 minutes. This is an unofficial archive of traffic incidents within Calgary. Traffic incidents are traffic disruptions affecting traffic ","2026-05-24T16:11:03.000Z",22453,"Transportation/Transit"
"qm96-zrf3","Timeline of Incidents involving pedestrians","chart","This is an unofficial archive of traffic incidents within Calgary. Traffic incidents are traffic disruptions affecting traffic flow, such as traffic signal issues, hazardous road conditions, stalled v","2026-05-24T16:11:03.000Z",22361,"Transportation/Transit"
"ynek-qdgh","Vaccination Locations","dataset","This dataset is a list of vaccination locations. The information includes address, vaccine type, booking and contact information for the vaccination locations. The information is updated daily.","2026-05-24T04:39:56.000Z",22127,"Health and Safety"
"jvnn-h8gt","SDAB Decisions Map","map","This file lists SDAB decisions since 2014. Additional information about the Subdivision and Development Appeal Board can be found at Subdivision and Development Appeal Board Page on calgary.sdab.ca.","2026-05-21T21:49:29.000Z",22018,"Government"
"c7sr-67sr","Current Year Rainfall","dataset","This is a measure of the raw rain data accumulated at various rain gauges throughout the City during the rain season, which typically runs from May 1- Sep 30. Readings are taken at 5 minute intervals,","2026-05-24T07:35:25.000Z",21934,"Environment"
"xmzy-ebse","Map of Short Term Rentals","map","This dataset shows all licenced Short Term Rental locations in the City of Calgary and its status. Data is provided weekly by The City of Calgary.","2026-05-24T10:51:00.000Z",21583,"Business and Economic Activity"
"uxp9-udh5","Calgary Transit Routes and Stops","map","","2026-05-15T16:02:20.000Z",20678,"Transportation/Transit"
"tcwg-fcae","Cemetery Burial Records","dataset","City owned cemeteries.","2026-05-24T01:02:41.000Z",20657,"Services and Amenities"
"iema-jbc4","Calgary Transit Ridership","dataset","Transit ridership including system-level ridership, sub groups, and by fare product.  Sub groups include adult, youth, seniors, low income, free fare zone, and internal recoveries.  Fare products incl","2026-03-01T23:01:38.000Z",20380,"Transportation/Transit"
"fd9t-tdn2","Schools","dataset","Location and information of schools and post-secondary institutions including school name, address, phone number and grade level. Standard City symbology has been applied.
This layer doesn't include p","2026-05-01T12:30:55.000Z",19893,"Services and Amenities"
"sycx-s5a6","Community Crime Data Lens","story","","2024-07-25T13:27:10.623Z",19781,NA
"ta76-7bfx","Public Water Service Lines","dataset","A water service pipe, also known as a water service line, is the way drinking water is delivered to each home in Calgary. The water service pipe can be thought of as two sections:
(1) From the water m","2026-05-01T21:33:15.000Z",19307,"Health and Safety"
"muzh-c9qc","Calgary Transit Stops","dataset","Calgary Transit stop locations. A dataset of <a href=""https://data.calgary.ca/Transportation-Transit/Calgary-Transit-Routes/hpnd-riq4"">Calgary Transit Routes</a> is also available.","2026-05-24T16:02:20.000Z",19037,"Transportation/Transit"
"9kkc-pfd6","Vaccination Locations","map","This dataset is a list of vaccination locations. The information includes address, vaccine type, booking and contact information for the vaccination locations. The information is updated daily.","2026-05-24T04:39:56.000Z",18989,"Health and Safety"
"g33j-xi2h","On-Street Parking Zones","map","Locations of the Calgary Parking Authority On-Street Parking Zones.","2026-05-22T13:33:57.000Z",18311,"Transportation/Transit"
"v8vv-5wep","Blue cart collection days","map","Look up your residential address to view your black, blue and green bin collection schedule. (Updated to include Summer and Winter Collection schedules).

To download a calendar or get a reminder for ","2026-05-22T23:43:07.000Z",18172,"Services and Amenities"
"uqjm-jxgp","Historical Air Quality","dataset","This dataset makes historical air quality data accessible for various parameters at Calgary monitoring stations. The data is collected by the Calgary Region Airshed Zone and submitted to Alberta Envir","2024-05-28T17:56:29.000Z",17880,"Environment"
"ruq3-99hx","Council and Committee Votes","dataset","This dataset includes confirmed Council and Committee meeting vote records as of October 7th, 2020, when Council and Committee eVoting was implemented. For vote results prior to this date, please visi","2026-04-01T21:40:53.000Z",17683,"Government"
"svbi-k49z","Land Use Designation Codes","dataset","A listing of land use designations in the city of Calgary and a description associated with each land use.","2023-07-17T17:28:15.000Z",17617,"Base Maps"
"hjbp-5p9j","Street Names","filter","This view displays all the unique street names in Calgary, based on the land parcel address data.","2026-05-21T14:07:54.000Z",17295,"Base Maps"
"g8ma-sywr","City Quadrants","map","Quadrant boundaries for the City of Calgary","2023-02-01T15:39:16.000Z",17098,"Base Maps"
"fypf-963h","Calgary Restaurant Inspections","href","(Please visit: <a href=""https://ephisahs.microsoftcrmportals.com/create-case/"">Contact Environmental Public Health</a>  to make a data request). Public Health Inspectors operate under the Alberta Publ","2023-02-01T15:39:24.000Z",16568,"Health and Safety"
"y8as-bmzj","Watershed Surface Water Quality Data","dataset","This dataset contains results for the City of Calgary's Watershed Monitoring Program. The program monitors surface water quality across a network of sites that include rivers, tributaries, and reservo","2026-05-24T08:06:16.000Z",15502,"Environment"
"jwn6-r58y","Secondary Suites","dataset","This dataset contains information about approved secondary suites in The City of Calgary. It can be viewed on an interactive map at http://secondarysuites.calgary.ca/
Dates for suites approved and com","2026-05-22T11:36:26.000Z",14739,"Business and Economic Activity"
"jzna-hfhu","Building Permit Values by Community","map","Total estimated construction value (EstProjectCost) of building permits in each community.","2026-05-23T19:03:30.000Z",14639,"Business and Economic Activity"
"vxgy-id5s","Electrical Permits and Inspections","dataset","Electrical permits are issued for the installation, addition or alteration of electrical components. Permits must be obtained and inspections completed prior to occupying the space the equipment is se","2026-05-24T15:57:45.000Z",14633,"Health and Safety"
"mybc-x96b","Major Road Network","map","A digital graphical representation of major roads within Calgary.","2026-05-21T14:08:04.000Z",14629,"Transportation/Transit"
"64iy-rpqq","Hours of service provided by Calgary Transit","dataset","Calgary Transit provides service to customers measured in service hours.  Each hour of service reflects all paid hours of operations, both in service to customers and out of service.","2026-03-01T17:03:39.000Z",14545,"Transportation/Transit"
"idqm-2ar5","Water Main Breaks Map","map","","2026-05-22T15:34:53.000Z",14452,"Environment"
"xrns-k6ck","Historic City Annexation","map","For more information on annexation, visit the <a href=""http://www.calgary.ca/PDA/pd/Pages/Planning-and-development-resource-library/Publications.aspx"">Planning and Development Resource Library</a> or ","2024-04-11T20:12:59.000Z",14154,"Base Maps"
"wrtt-2nqs","Tenancy Change Applications","dataset","Tenancy change applications are for businesses that are changing owners, with no change to the approved use within a space. If no construction is occurring and the use is not intensifying or changing,","2026-05-24T13:10:29.000Z",13919,"Business and Economic Activity"
"9qye-mibh","School Enrolment Data","dataset","Annual student enrolment from ECS to Grade 12 throughout Calgary.
This data is a subset of the entire data for Alberta. The original dataset is on the Government of Alberta (https://open.alberta.ca/op","2025-03-06T17:44:36.000Z",13875,"Demographics"
"s8b3-j88p","Parcel Address and lat/long","filter","This file contains address information for land parcels within The City of Calgary.","2026-05-21T14:07:54.000Z",13612,"Base Maps"
"8ced-xbvn","Building Inspections Results","dataset","Building permits issued by Calgary Building Services will require inspections. If a building inspection has been completed, the results of the inspection will be identified in this dataset. If there a","2026-05-23T22:38:23.000Z",13297,"Health and Safety"
"cchr-krqg","3D Buildings - Citywide","dataset","These 3D building shapes are derived from full surface LiDAR by creating roof surface outlines. Exterior walls are projected from the outer edges of the roof outlines to just below the ground surface.","2026-05-19T19:57:48.000Z",13281,"Base Maps"
"x65x-yedj","Building Permits Issued per Year","chart","","2026-05-23T19:03:30.000Z",12780,"Business and Economic Activity"
"surr-xmvs","Community District Boundaries","dataset","Community district boundaries for the City of Calgary","2026-05-01T17:30:39.000Z",12773,"Base Maps"
"atsy-3a4w","2017 Official Election Results by Voting Station","dataset","This dataset contains the election results by voting station for each ward in the 2017 General Election","2026-04-01T16:31:46.000Z",12752,"Government"
"mf7u-jm4x","Public Water Main Locations","map","Water main assets owned and operated by the City of Calgary for the distribution of drinking water.","2026-05-01T22:32:48.000Z",12687,"Services and Amenities"
"kiuh-sx23","Official Results - General Election 2021","dataset","Final results of the 2021 General Election. Mayoral results by ward and voting station, Councillor results by ward and voting station, School Board results by combined wards and voting station.","2026-04-07T21:21:47.000Z",12668,"Government"
"4ejs-ppnc","Building Permit Builders Report","filter","","2026-05-23T19:03:30.000Z",12258,"Business and Economic Activity"
"qe6k-p9nh","Land Use Districts","dataset","This spatial dataset contains polygons representing land use districts in Calgary.
For more information about land use in The City of Calgary, please visit the Calgary.ca <a href=""http://www.calgary.c","2026-05-22T15:12:34.000Z",11680,"Base Maps"
"k85e-i265","Residential Solar Photovoltaic (PV) System Potential","dataset","This dataset demonstrates an optimal size of PV system to be installed on a rooftop area. It is an analysis of residential rooftops (excluding apartment complexes) to estimate a potential capacity of ","2025-06-02T21:03:48.000Z",11547,"Environment"
"ap4r-bav3","Police Service","dataset","The City of Calgary is broken down into 8 Districts. These districts are a geographical representation which help centralize police offices within the communities to ensure quick response to community","2026-05-19T21:52:10.000Z",11390,"Health and Safety"
"6zmz-cx7g","Calgary Business Licenses Data Lens","story","This file includes the licensed businesses in the City of Calgary. Data fields include: Trade name, Business Location, Creation Date, Status, License Type and Community District of the business. All b","2023-08-02T17:45:16.972Z",10714,NA
"dpcu-jr23","Water Main Breaks","dataset","Main breaks happen year-round. There are many contributing factors including: Pipe Age, Pipe Material and Soil Conditions, and Temperature. See <a href=""http://www.calgary.ca/UEP/Water/Pages/construct","2026-05-22T15:34:53.000Z",10438,"Environment"
"8rd9-gix2","Development Permit Public Notices","dataset","The Development Permit Public Notices data set consists of development permits which have been made public. The City of Calgary is required by law to publish Development Permit information for two wee","2026-05-24T05:56:17.000Z",10284,"Government"
"iahh-g8bj","311 Service Requests","dataset","Public Service Requests submitted via 311 from 2012 to present. 

For more information on 311 Calgary, or to submit a request, visit http://www.calgary.ca/CFOD/CSC/Pages/311.aspx","2026-05-24T17:01:12.000Z",9807,"Services and Amenities"
"9bze-mzx6","Compensation Disclosure List","dataset","The City’s compensation disclosure list includes position titles and base salary ranges as approved by Council from 2014 to present.

For more information see: <a href=""https://www.calgary.ca/ca/city-","2026-04-23T22:39:02.000Z",9785,"Government"
"gzkz-5k9a","Short Term Rentals","dataset","This dataset shows all licenced Short Term Rental locations in the City of Calgary and its status. Data is provided daily by The City of Calgary.","2026-05-24T10:51:00.000Z",9775,"Business and Economic Activity"
"m6sn-2uhw","Council Meetings Voting Record (Oct 2021 - Oct 2025)","chart","This dataset includes confirmed Council and Committee meeting vote records from October 2021 to October 2025, when Council and Committee eVoting was implemented. For vote results prior to this date, p","2026-04-01T21:40:53.000Z",9620,"Government"
"qy59-97ik","Prohibited Roads for Temporary Signs Map","map","This dataset identifies the roads in the City of Calgary where temporary signage is prohibited under the Temporary Signs on Highway Bylaw 29M97.","2026-04-30T13:34:34.000Z",9599,"Help and Information"
"jtpc-xgsh","Historical Community Populations","dataset","The population, occupied dwelling count, and person per unit calculation of Calgary communities since 1968. 

These data are collected from different sources and may be based on community boundaries","2026-05-06T16:45:30.000Z",9548,"Demographics"
"x9fe-3zah","Rain Gauge locations","dataset","Locations for daily monitoring of rainfall throughout the City. Collecting rainfall data from May 1-Sep 30 every year.","2023-11-09T20:29:51.000Z",9528,"Base Maps"
"hq9i-tw2u","Rain Gauge Map","map","Locations for daily monitoring of rainfall throughout the City. Collecting rainfall data from May 1-Sep 30 every year.","2023-02-01T15:39:47.000Z",9457,"Base Maps"
"929h-pxfz","Forward Sortation Area 2021","dataset","The Forward Sortation Area Boundary File depicts the boundaries of forward sortation areas (FSAs) derived from postal codes captured from federal census questionnaires. This is based on census dissemi","2023-02-01T15:39:24.000Z",9163,"Base Maps"
"uc4c-6kbd","Buildings","dataset","The DAS Building Roof Outline layer contains polygon features as a graphical representation for individual building roof edge lines. The layer shows the spatial locations of building roof outlines loc","2026-05-19T22:10:56.000Z",8916,"Base Maps"
"bdez-pds9","Fire Emergency Response Calls","dataset","This dataset contains daily count of incidents responded by incident type.","2023-02-01T15:38:51.000Z",8633,"Government"
"2msm-bgzt","Pedestrian Collision Injuries","dataset","Annual pedestrian collision injuries in Calgary resulting in emergency department visit or hospital admission, based on the type of collision.","2023-02-01T15:39:25.000Z",8618,"Health and Safety"
"ehvy-b4t6","Police Service Locations","map","Locations of Calgary Police Service offices","2026-05-19T22:11:28.000Z",8570,"Health and Safety"
"33vi-ew4s","Land Use Redesignation Applications","dataset","Applications for land use redesignations, outline plans and road closures in Calgary. For more information on the land use redesignation process, visit <a href=""https://www.calgary.ca/PDA/pd/Pages/Res","2026-05-23T21:05:34.000Z",8459,"Business and Economic Activity"
"erra-cqp9","City Boundary","dataset","The City Limits or boundaries are the jurisdictional extents of the city of Calgary. They are governed by provincial board orders, provincial reports prepared following the hearing and approval of a p","2026-05-01T06:02:05.000Z",8381,"Base Maps"
"crbp-innf","Corporate Energy Consumption","dataset","Energy consumption at City facilities. This raw data is subject to periodic adjustments and modifications. Check out: <a href=""https://www.calgary.ca/CS/IIS/Pages/Green-Building/Calgary's-Sustainable-","2026-05-01T11:36:02.000Z",8378,"Environment"
"rmai-qvzh","Civic Census Results 1958-2019","dataset","The City of Calgary has been conducting the annual Civic Census since 1958. View the citywide and ward-level counts of dwelling units and residents over the past 60 years.","2026-04-07T19:21:24.000Z",8274,"Demographics"
"h98y-bpv6","2D Buildings Map","map","These 3D building shapes are derived from full surface LiDAR by creating roof surface outlines. Exterior walls are projected from the outer edges of the roof outlines to just below the ground surface.","2026-05-19T21:10:43.000Z",8163,"Base Maps"
"as2i-6z3n","Citywide Land Cover","dataset","This is a composite land cover layer created from multiple City data sources and compiled into a single seamless land cover layer in 2015. The final land cover layer was checked against the City of Ca","2026-03-11T22:20:57.000Z",7984,"Environment"
"wzpt-744u","Unemployment rates","chart","This monthly report contains comments, analysis and statistical illustrations of a set of economic indicators monitored by Corporate Economics that inform our forecasts.","2026-05-22T10:01:27.000Z",7907,"Business and Economic Activity"
"2axz-xm4q","Transit LRT Stations","dataset","","2026-05-01T11:00:30.000Z",7835,"Transportation/Transit"
"99ya-d7e4","Community Map of Calgary Business Licenses","map","This file includes the licensed businesses in the City of Calgary. Data fields include: Trade name, Business Location, Creation Date, Status, Licence Type and Community District of the business. All b","2026-05-24T05:14:53.000Z",7819,"Business and Economic Activity"
"5dgy-88cq","Licensed Pets","dataset","All cats and dogs over three months of age and residing in Calgary must be licensed with The City of Calgary. If you do not license your cat or dog, you could face a $250 fine.
For more information vi","2026-05-12T20:05:58.000Z",7764,"Services and Amenities"
"qmxc-agq2","Heritage Trees in Calgary","map","Information about Calgary's urban forest, including the locations and types of trees on public land. To learn more, visit the <a href=""https://maps.calgary.ca/TreeSchedule/"">Urban Forest Management ma","2026-05-22T21:11:10.000Z",7671,"Environment"
"a2cn-dxht","Hydrology","map","An extent of land covered by, intermittent and permanent, water bodies and watercourses. This includes both parcel bounding and non-parcel bounding occurrences. Includes the natural watercourses as fo","2026-05-20T14:07:45.000Z",7634,"Environment"
"v2xf-fuhd","Water Pressure Zones Map","map","Water pressure zone boundaries are subject to change due to new development in green field areas. For more information on water pressure zones, please visit: <a href=""https://www.calgary.ca/uep/water/","2026-05-01T09:02:38.000Z",7588,"Environment"
"wwf6-cpsg","Traffic Volumes for 2018","dataset","The traffic volume flow map illustrates the Average Annual Weekday Traffic (AAWT), the average number of vehicles in 24 hours adjusted for seasonal variation to represent the average weekday. The numb","2023-02-01T15:39:34.000Z",7577,"Transportation/Transit"
"grtb-2v3j","Parks Pathways","map","The Calgary Pathways dataset identifies regional and local pathways that offer connectivity throughout the City.The map is also available in the following formats: paper hardcopy, electronic, and the ","2026-05-21T14:16:43.000Z",7458,"Recreation and Culture"
"j9ps-fyst","Community Points","dataset","The set of community points. Each point identifies the centroid of the community it is located in.","2026-05-19T21:40:59.000Z",7451,"Base Maps"
"qr97-4jvx","Traffic Signals","dataset","This dataset contains the locations of traffic signals that are maintained by the City of Calgary. For more information, see http://www.calgary.ca/Transportation/Roads/Pages/Traffic/Traffic-signals-an","2026-05-24T11:00:38.000Z",7212,"Health and Safety"
"55jd-afyr","Building Permit Locations","map","Building permit applications made to The City of Calgary's Planning & Development department. Visit the Calgary.ca <a href=""http://www.calgary.ca/PDA/pd/Pages/Permits/Building-permits/Building-permit-","2026-05-23T19:03:30.000Z",7137,"Business and Economic Activity"
"m84u-n3rp","Subdivision and Development Appeal Board (SDAB) Decisions","dataset","This file lists SDAB decisions since 2014. Additional information about the Subdivision and Development Appeal Board can be found at the Subdivision and Development Appeal Board page on calgarysdab.ca","2026-05-21T21:49:29.000Z",7123,"Government"
"xn3q-y49u","Water Pressure Zones","dataset","Water pressure zone boundaries are subject to change due to new development in green field areas. For more information on water pressure zones, please visit: <a href=""https://www.calgary.ca/uep/water/","2026-05-01T09:02:38.000Z",7004,"Environment"
"x34e-bcjz","Community Services","dataset","In this model amenities are classified under the following headings: Attractions, Community Centre, Court, Defibrillator, Health Clinic, Hospital, Internet Access, Library,  Skate Parks, Social Dev Ct","2026-05-19T19:19:32.000Z",6988,"Services and Amenities"
"4dx8-rtm5","Street Centreline","dataset","Centreline representation of the dedicated street right-of-way. The linear network is broken at the intersection of two or more streets or alleyways.","2026-05-19T19:24:41.000Z",6924,"Transportation/Transit"
"n9it-gzsq","Yearly Ridership (current year is year-to-date)","chart","Transit ridership including system-level ridership, sub groups, and by fare product.  Sub groups include adult, youth, seniors, low income, free fare zone, and internal recoveries.  Fare products incl","2026-03-01T23:01:38.000Z",6814,"Transportation/Transit"
"tssn-kski","Public Washrooms Map","map","The Corporate Structures List (CSL) is a geospatial dataset designed to help users explore The City of Calgary's assets. The CSL contains essential information about structures owned, managed, leased,","2026-05-23T21:00:32.000Z",6803,"Government"
"tqjs-vnhy","Major Road Network","dataset","A digital graphical representation of major roads within Calgary.","2026-05-21T14:08:04.000Z",6662,"Transportation/Transit"
"h3h6-kgme","Community Disorder Statistics","dataset","In addition to monitoring crime levels, the Calgary Police Service uses a range of types of calls for service (CFS) to monitor levels of ""Disorder."" Research indicates that disorder can have a negativ","2026-04-01T16:35:03.000Z",6581,"Health and Safety"
"x4rd-nsvz","Intersection Safety Camera Locations","map","Intersection Safety Cameras (ISCs) are cameras that detect the travel speed of vehicular traffic. The ISC is also able to detect whether a vehicle fails to stop for the red light phase in a signalized","2026-05-01T08:41:23.000Z",6480,"Health and Safety"
"f9wk-wej9","2021 Federal Census Population and Dwellings by Community","dataset","The Population and Dwellings data from the 2021 Federal Census covers population in private households by age and gender.
For questions, please contact socialresearch@calgary.ca. Please visit <a href=","2024-10-11T18:42:17.000Z",6465,"Demographics"
"icxc-6yk3","Natural Areas","map","Administrative grouping of Habitat polygons into Natural areas maintained by Calgary Parks or located on lands under Calgary Parks Stewardship.","2026-05-22T14:46:10.000Z",6430,"Environment"
"s6f4-ijrf","EMS Stations","dataset","Locations of emergency medical services stations.","2026-05-19T22:02:23.000Z",6413,"Health and Safety"
"r9vx-mhnf","Ward Boundaries","map","A ward is the division of the city into electoral areas, each represented by one elected Councillor. Wards are a geographical division of the municipality and are referred to by a number defined in th","2026-05-01T14:03:22.000Z",6341,"Government"
"g9s5-qhu5","Air Quality Data (near real-time)","dataset","This dataset is collected by the Calgary Region Airshed Zone (CRAZ) and submitted to Alberta Environment and Parks (AEP). AEP provides access to air quality data at its air quality stations. The near ","2026-05-24T16:32:25.000Z",6306,"Environment"
"2c7u-hsrm","Map of Traffic Signs","map","Traffic sign and sign post data points","2026-01-14T17:09:56.000Z",6294,"Transportation/Transit"
"wug9-9mux","Secondary Suites by Community Map","map","This dataset contains information about approved secondary suites in The City of Calgary. It can be viewed on an interactive map at http://secondarysuites.calgary.ca/","2026-05-22T11:36:26.000Z",6285,"Business and Economic Activity"
"45az-7kh9","On-Street Parking Zones with Rates","dataset","Hourly prices by pricing area. These areas correspond with the PRICE_ZONE in the <a href=""https://data.calgary.ca/Transportation-Transit/On-Street-Parking-Zones/rhkg-vwwp"">On-Street Parking Zones</a> ","2026-05-01T16:05:29.000Z",6199,"Help and Information"
"4yk7-rbpq","Current Traffic Incidents and Construction zones","map","Traffic incidents within Calgary updated every 10 minutes. For more information, see the <a href=""http://www.calgary.ca/Transportation/Roads/Pages/Traffic/Advisories-closures-and-detours/Calgary-traff","2026-05-24T16:11:03.000Z",6190,"Transportation/Transit"
"wfy7-ea5g","Official Results - General Election 2017","dataset","Final results of the 2017 General Election. Mayoral results city-wide and by ward, Councillor results by ward, and School Board results by combined wards.","2026-04-07T21:16:02.000Z",6130,"Government"
"jpwd-iaas","Census by Community 2019","map","Census data is an official count of dwelling units and population within those units. The data is physically collected and may be supplemented with other information such as the periodic age/gender di","2026-04-06T16:34:05.000Z",6097,"Demographics"
"m7gu-3xk5","Community-wide Greenhouse Gas (GHG) Inventory","dataset","This data set contains the community-wide greenhouse gas emissions over time.  The emissions are broken down by sector (e.g. transportation, waste, etc.), and by emissions source (residential building","2024-05-28T14:38:33.000Z",6080,"Environment"
"7cvb-8ame","Monthly Economic Indicators","dataset","This monthly report contains comments, analysis and statistical illustrations of a set of economic indicators monitored by Corporate Economics that inform our forecasts.","2026-05-22T10:00:22.000Z",6042,"Business and Economic Activity"
"pede-tz7g","Bike and Pedestrian Counts","dataset","Daily bicycle and pedestrian counts are available from sensors set up on the Peace Bridge, cycle tracks and Stephen Avenue. Using an Eco-Counter machine, cyclists are detected using loops embedded in ","2026-02-19T21:16:21.000Z",6017,"Transportation/Transit"
"aeb8-fh2w","Travel Times","dataset","Current travel times when traveling by car between various points within the city.","2026-05-24T17:28:03.000Z",5967,"Transportation/Transit"
